"Name","Platform","Genre","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Rating"
"The Legend of Zelda: Twilight Princess","Wii","Action",7.15,95,73,89,1658,"T"
"Super Smash Bros. Melee","GC","Fighting",7.07,92,38,90,568,"T"
"Medal of Honor: Frontline","PS2","Shooter",6.83,88,29,84,135,"T"
"Uncharted 3: Drake's Deception","PS3","Action",6.74,92,97,82,3712,"T"
"Uncharted 2: Among Thieves","PS3","Action",6.66,96,105,87,5187,"T"
"World of Warcraft","PC","Role-Playing",6.29,93,57,72,2182,"T"
"Driver","PS","Action",6.27,87,22,80,78,"T"
"Final Fantasy XII","PS2","Role-Playing",5.95,92,64,75,972,"T"
"Tekken 2","PS","Fighting",5.74,89,8,88,102,"T"
"Destiny","PS4","Shooter",5.64,76,95,60,5380,"T"
"Monster Hunter Freedom Unite","PSP","Role-Playing",5.48,81,48,86,124,"T"
"Batman: Arkham City","PS3","Action",5.48,96,42,85,2162,"T"
"Uncharted 4: A Thief's End","PS4","Shooter",5.38,93,113,78,7064,"T"
"Final Fantasy XIII","PS3","Role-Playing",5.33,83,83,72,2483,"T"
"Final Fantasy IX","PS","Role-Playing",5.3,94,22,88,779,"T"
"Final Fantasy X-2","PS2","Role-Playing",5.29,85,45,65,400,"T"
"Dragon Quest VIII: Journey of the Cursed King","PS2","Role-Playing",5.21,89,63,87,245,"T"
"Medal of Honor: Rising Sun","PS2","Shooter",5.13,68,30,75,100,"T"
"Guitar Hero II","PS2","Misc",5.12,92,69,84,112,"T"
"Tony Hawk's Pro Skater","PS","Sports",5.02,92,18,91,69,"T"
"Guitar Hero III: Legends of Rock","PS2","Misc",4.98,82,24,81,46,"T"
"Link's Crossbow Training","Wii","Shooter",4.98,68,34,70,47,"T"
"Uncharted: Drake's Fortune","PS3","Action",4.92,88,66,80,2306,"T"
"StarCraft II: Wings of Liberty","PC","Strategy",4.84,93,82,81,3052,"T"
"Driver 2","PS","Action",4.73,62,14,76,92,"T"
"Batman: Arkham City","X360","Action",4.73,94,87,86,1472,"T"
"Tony Hawk's Pro Skater 2","PS","Sports",4.68,98,19,76,299,"T"
"The Lord of the Rings: The Two Towers","PS2","Action",4.67,82,32,81,78,"T"
"Tomb Raider","PS","Action",4.63,91,13,85,147,"T"
"Uncharted: The Nathan Drake Collection","PS4","Action",4.62,86,78,80,1264,"T"
"Guitar Hero III: Legends of Rock","Wii","Misc",4.6,86,36,83,87,"T"
"Guitar Hero III: Legends of Rock","X360","Misc",4.53,85,69,78,165,"T"
"Halo 5: Guardians","XOne","Shooter",4.48,84,101,63,2438,"T"
"Tony Hawk's Pro Skater 3","PS2","Sports",4.41,97,34,74,298,"T"
"Need for Speed: Most Wanted","PS2","Racing",4.37,82,36,90,137,"T"
"Batman: Arkham Asylum","PS3","Action",4.23,91,70,88,1122,"T"
"Street Fighter IV","PS3","Fighting",4.16,94,61,72,330,"T"
"World of Warcraft: The Burning Crusade","PC","Role-Playing",4.09,91,46,78,785,"T"
"Tekken Tag Tournament","PS2","Fighting",4.05,85,25,84,117,"T"
"Tony Hawk's Underground","PS2","Sports",3.9,90,38,86,121,"T"
"Monster Hunter 4 Ultimate","3DS","Role-Playing",3.89,86,80,86,348,"T"
"Tekken 5","PS2","Fighting",3.87,88,62,85,229,"T"
"MotorStorm","PS3","Racing",3.87,84,9,73,220,"T"
"The Sims: Unleashed","PC","Simulation",3.76,79,21,79,29,"T"
"Tony Hawk's Pro Skater 4","PS2","Sports",3.67,94,27,84,128,"T"
"Guitar Hero: World Tour","Wii","Misc",3.62,86,18,75,71,"T"
"Star Wars: Battlefront","PS2","Shooter",3.61,82,36,86,142,"T"
"The Simpsons: Road Rage","PS2","Racing",3.61,64,23,76,32,"T"
"Star Wars: Battlefront II","PS2","Shooter",3.59,84,30,89,268,"T"
"James Bond 007: Agent Under Fire","PS2","Shooter",3.53,72,27,78,48,"T"
"Batman: Arkham Asylum","X360","Action",3.48,92,78,86,1080,"T"
"Tekken 4","PS2","Fighting",3.44,79,23,82,126,"T"
"Grand Theft Auto 2","PS","Action",3.42,70,15,79,67,"T"
"Spider-Man 2","PS2","Action",3.41,80,50,88,106,"T"
"Destiny","XOne","Shooter",3.37,75,11,54,1735,"T"
"James Bond 007: Nightfire","PS2","Shooter",3.33,77,20,84,66,"T"
"Star Wars Episode III: Revenge of the Sith","PS2","Action",3.32,60,34,71,82,"T"
"The Lord of the Rings: The Return of the King","PS2","Action",3.28,85,31,86,105,"T"
"Enter the Matrix","PS2","Action",3.18,62,30,80,137,"T"
"Crisis Core: Final Fantasy VII","PSP","Role-Playing",3.18,83,67,79,463,"T"
"Dance Central","X360","Misc",3.17,82,63,75,85,"T"
"Dragon Ball Z: Budokai","PS2","Fighting",3.09,67,28,78,71,"T"
"The Sims: Vacation","PC","Simulation",3.07,75,18,77,22,"T"
"The Sims 4","PC","Simulation",3.05,70,74,38,2057,"T"
"Tom Clancy's Splinter Cell","XB","Action",3.02,93,46,84,121,"T"
"Dragon Ball Z: Budokai Tenkaichi 3","PS2","Fighting",3,73,24,91,173,"T"
"The Sims: Livin Large","PC","Misc",2.99,82,23,65,20,"T"
"Star Wars: The Old Republic","PC","Role-Playing",2.96,85,73,58,2748,"T"
"Street Fighter IV","X360","Fighting",2.94,93,77,72,292,"T"
"inFAMOUS","PS3","Action",2.93,85,98,82,1172,"T"
"Call of Duty: Finest Hour","PS2","Shooter",2.89,76,49,76,69,"T"
"The Elder Scrolls III: Morrowind","XB","Role-Playing",2.86,87,34,86,111,"T"
"Metroid Prime","GC","Shooter",2.82,97,70,92,747,"T"
"inFAMOUS: Second Son","PS4","Action",2.79,80,90,78,2944,"T"
"Jak II","PS2","Platform",2.78,87,47,81,241,"T"
"The Sims","PS2","Simulation",2.77,83,33,76,46,"T"
"Star Wars: The Force Unleashed","X360","Action",2.77,73,74,66,389,"T"
"Tekken 6","PS3","Fighting",2.75,79,63,73,211,"T"
"Call of Duty 3","X360","Shooter",2.7,82,71,64,233,"T"
"Burnout 3: Takedown","PS2","Racing",2.68,93,52,90,271,"T"
"Call Of Duty 2: Big Red One","PS2","Shooter",2.67,77,39,81,69,"T"
"Medal of Honor","PS","Shooter",2.67,92,17,85,80,"T"
"Guitar Hero: World Tour","X360","Misc",2.66,85,67,62,171,"T"
"Tom Clancy's Splinter Cell","PS2","Action",2.65,89,24,76,102,"T"
"Medal of Honor Heroes","PSP","Shooter",2.65,71,24,78,47,"T"
"Final Fantasy XIII-2","PS3","Role-Playing",2.63,79,53,65,707,"T"
"Midnight Club: Street Racing","PS2","Racing",2.63,78,18,77,21,"T"
"Skate 3","X360","Sports",2.63,80,65,79,127,"T"
"Halo Wars","X360","Strategy",2.62,82,92,71,454,"T"
"WWE SmackDown vs. RAW 2007","PS2","Fighting",2.58,80,27,85,57,"T"
"Monster Hunter Freedom 2","PSP","Role-Playing",2.57,72,38,86,83,"T"
"Crazy Taxi","PS2","Racing",2.52,80,15,78,46,"T"
"Marvel: Ultimate Alliance","X360","Role-Playing",2.5,82,68,74,120,"T"
"Rock Band","X360","Misc",2.47,92,72,81,178,"T"
"Final Fantasy Tactics","PS","Role-Playing",2.45,83,12,81,190,"T"
"Midnight Club: Los Angeles","PS3","Racing",2.45,82,50,81,100,"T"
"The Sims: Bustin' Out","PS2","Simulation",2.43,81,26,83,42,"T"
"Dragon Ball Z: Budokai 2","PS2","Fighting",2.41,66,28,81,92,"T"
"Guitar Hero","PS2","Misc",2.38,91,65,86,173,"T"
"The Incredibles","PS2","Action",2.37,62,36,75,22,"T"
"Tony Hawk's Underground 2","PS2","Sports",2.37,83,59,87,55,"T"
"Midnight Club: Los Angeles","X360","Racing",2.35,81,66,84,142,"T"
"WWE SmackDown vs Raw 2008","PS2","Fighting",2.34,71,11,71,31,"T"
"James Bond 007: Everything or Nothing","PS2","Shooter",2.31,84,42,90,51,"T"
"Guild Wars 2","PC","Action",2.31,90,69,78,2954,"T"
"Batman: Arkham Origins","PS3","Action",2.29,76,46,76,668,"T"
"The Sims 3","X360","Simulation",2.28,76,42,70,71,"T"
"Guitar Hero III: Legends of Rock","PS3","Misc",2.24,83,45,77,52,"T"
"Call of Duty 3","Wii","Shooter",2.24,69,42,66,61,"T"
"Dissidia: Final Fantasy","PSP","Fighting",2.23,79,61,79,139,"T"
"Prince of Persia: The Sands of Time","PS2","Action",2.22,92,44,87,204,"T"
"Monster Hunter Tri","Wii","Role-Playing",2.22,84,70,85,219,"T"
"Star Wars: The Force Unleashed","PS3","Action",2.21,71,47,65,233,"T"
"Guitar Hero II","X360","Misc",2.2,92,55,80,220,"T"
"Rock Band 2","X360","Misc",2.2,92,69,82,156,"T"
