Cash,Category,EmpID,Flavor,Product,Price,ProdID,Quantity,ReceiptNo,SaleDate,StoreID,Type,Weekend,City,State,Street,Zip
FALSE,Cookie,20,Ganache,Ganache Cookie,1.15,21,1,1,12-Jan-00,20,Food,FALSE,Tucson,AZ,1900 Speedway Blvd,85701
FALSE,Pie,20,Apple,Apple Pie,5.25,11,5,1,12-Jan-00,20,Food,FALSE,Tucson,AZ,1900 Speedway Blvd,85701
FALSE,Eclair,35,Coffee,Coffee Eclair,3.5,7,1,2,15-Jan-00,10,Food,TRUE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Pie,35,Apple,Apple Pie,5.25,11,3,2,15-Jan-00,10,Food,TRUE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Twist,35,Almond,Almond Twist,1.15,37,4,2,15-Jan-00,10,Food,TRUE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Coffee,35,Hot,Hot Coffee,2.15,45,3,2,15-Jan-00,10,Drink,TRUE,Bakersfield,CA,1850 Truxtun Ave,93308
FALSE,Cake,13,Opera,Opera Cake,15.95,3,5,3,8-Jan-00,13,Food,TRUE,Portland,OR,678 Burnside St,97209
FALSE,Juice,13,Orange,Orange Juice,2.75,42,3,3,8-Jan-00,13,Drink,TRUE,Portland,OR,678 Burnside St,97209
FALSE,Croissant,13,Cheese,Cheese Croissant,1.75,33,3,3,8-Jan-00,13,Food,TRUE,Portland,OR,678 Burnside St,97209
TRUE,Cake,16,Truffle,Truffle Cake,15.95,5,1,4,24-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
TRUE,Tart,16,Apple,Apple Tart,3.25,12,2,4,24-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
TRUE,Frappuccino,16,Vanilla,Vanilla Frappuccino,3.85,47,1,4,24-Jan-00,16,Drink,FALSE,Reno,NV,446 Center St,89507
TRUE,Tart,16,Chocolate,Chocolate Tart,3.75,17,4,4,24-Jan-00,16,Food,FALSE,Reno,NV,446 Center St,89507
FALSE,Juice,7,Orange,Orange Juice,2.75,42,2,5,22-Jan-00,7,Drink,TRUE,San Jose,CA,200 Keyes St,95106
FALSE,Eclair,7,Chocolate,Chocolate Eclair,3.25,6,5,5,22-Jan-00,7,Food,TRUE,San Jose,CA,200 Keyes St,95106
FALSE,Tart,7,Cherry,Cherry Tart,3.25,18,3,5,22-Jan-00,7,Food,TRUE,San Jose,CA,200 Keyes St,95106
TRUE,Cake,14,Casino,Casino Cake,15.95,2,4,6,28-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
TRUE,Cake,14,Strawberry,Strawberry Cake,11.95,4,3,6,28-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
TRUE,Croissant,14,Chocolate,Chocolate Croissant,1.75,34,4,6,28-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Tart,14,Blackberry,Blackberry Tart,3.25,15,1,7,1-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Tart,14,Blueberry,Blueberry Tart,3.25,16,4,7,1-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Cookie,14,Raspberry,Raspberry Cookie,1.09,23,2,7,1-Jan-00,14,Food,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Lemonade,14,Lemon,Lemon Lemonade,3.25,40,3,7,1-Jan-00,14,Drink,TRUE,Seattle,WA,550 Thomas St,98111
FALSE,Croissant,18,Chocolate,Chocolate Croissant,1.75,34,1,8,9-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Cookie,18,Walnut,Walnut Cookie,0.79,29,2,8,9-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Cake,18,Casino,Casino Cake,15.95,2,1,8,9-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Cake,18,Opera,Opera Cake,15.95,3,3,8,9-Jan-00,18,Food,FALSE,Phoenix,AZ,2400 Camelback Rd,85016
FALSE,Danish,22,Apple,Apple Danish,1.15,36,1,9,21-Sep-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Cookie,22,Raspberry,Raspberry Cookie,1.09,23,2,9,21-Sep-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Meringue,22,Vanilla,Vanilla Meringue,1.15,26,3,9,21-Sep-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Tart,22,Cherry,Cherry Tart,3.25,18,5,9,21-Sep-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Danish,22,Apricot,Apricot Danish,1.15,35,4,9,21-Sep-00,1,Food,FALSE,San Francisco,CA,150 Hayes St,94171
FALSE,Coffee,2,Hot,Hot Coffee,2.15,45,4,10,18-Jan-00,2,Drink,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
FALSE,Water,2,Bottled,Bottled Water,1.8,44,4,10,18-Jan-00,2,Drink,FALSE,San Luis Obispo,CA,1430 Chorro St,93405
